n,count(DISTINCT r)
"{date:1992/7/14,paperId:9207239}",7
"{date:None,paperId:207191}",24
"{date:None,paperId:9095}",14
"{date:None,paperId:2259}",29
"{date:1999/12/15,paperId:9912363}",15
"{date:1993/3/30,paperId:9303316}",8
"{date:1998/8/6,paperId:9808238}",22
"{date:1992/11/17,paperId:9211258}",14
"{date:1993/3/17,paperId:9303271}",10
"{date:1999/8/26,paperId:9908469}",25
"{date:1999/7/20,paperId:9907436}",47
"{date:None,paperId:203224}",25
"{date:None,paperId:210134}",19
"{date:None,paperId:105342}",7
"{date:1993/12/6,paperId:9312226}",18
"{date:1995/10/30,paperId:9510443}",18
"{date:1998/12/9,paperId:9812300}",6
"{date:None,paperId:6256}",15
"{date:None,paperId:6352}",27
"{date:1993/11/25,paperId:9311364}",1
"{date:None,paperId:1161}",25
"{date:1993/11/9,paperId:9311254}",5
"{date:1999/3/29,paperId:9903511}",29
"{date:1997/4/4,paperId:9704243}",46
"{date:1999/11/8,paperId:9911268}",5
"{date:1993/4/6,paperId:9304219}",3
"{date:1997/10/15,paperId:9710360}",4
"{date:1997/7/2,paperId:9707224}",45
"{date:1996/8/5,paperId:9608229}",47
"{date:1998/10/16,paperId:9810380}",6
"{date:None,paperId:12145}",47
"{date:1994/7/5,paperId:9407233}",1
"{date:1998/10/28,paperId:9810511}",14
"{date:1996/11/11,paperId:9611297}",34
"{date:1997/7/30,paperId:9707516}",21
"{date:1994/10/17,paperId:9410301}",5
"{date:None,paperId:210269}",13
"{date:None,paperId:8261}",5
"{date:1995/12/21,paperId:9512391}",2
"{date:1997/10/1,paperId:9710207}",5
"{date:None,paperId:111407}",5
"{date:None,paperId:102294}",3
"{date:None,paperId:205169}",1
"{date:None,paperId:205078}",7
"{date:None,paperId:106348}",10
"{date:None,paperId:301050}",7
"{date:None,paperId:111367}",5
"{date:1998/9/30,paperId:9809593}",9
"{date:1997/3/21,paperId:9703385}",11
"{date:None,paperId:8170}",8
"{date:None,paperId:12011}",16
"{date:1999/12/6,paperId:9912247}",4
"{date:None,paperId:12170}",11
"{date:1997/8/22,paperId:9708440}",5
"{date:None,paperId:302123}",38
"{date:1997/8/17,paperId:9708378}",26
"{date:None,paperId:5254}",15
"{date:1993/12/24,paperId:9312337}",2
"{date:1999/9/17,paperId:9909423}",44
"{date:1998/1/13,paperId:9801283}",14
"{date:1997/6/18,paperId:9706407}",1
"{date:None,paperId:110193}",44
"{date:1999/1/27,paperId:9901428}",20
"{date:None,paperId:5269}",20
"{date:None,paperId:208215}",8
"{date:1995/8/16,paperId:9508311}",24
"{date:1996/2/13,paperId:9602289}",32
"{date:1998/3/27,paperId:9803480}",44
"{date:1995/11/12,paperId:9511300}",19
"{date:1993/8/5,paperId:9308235}",4
"{date:None,paperId:206258}",65
"{date:1996/10/18,paperId:9610417}",7
"{date:1999/10/13,paperId:9910334}",36
"{date:1998/10/29,paperId:9810521}",1
"{date:1996/4/3,paperId:9604234}",24
"{date:None,paperId:207126}",55
"{date:None,paperId:110169}",28
"{date:1996/5/26,paperId:9605400}",7
"{date:None,paperId:107102}",13
"{date:None,paperId:105282}",18
"{date:None,paperId:4013}",47
"{date:1996/9/17,paperId:9609380}",32
"{date:None,paperId:211107}",26
"{date:1992/12/14,paperId:9212257}",17
"{date:1997/7/9,paperId:9707290}",22
"{date:1999/12/15,paperId:9912349}",63
"{date:1998/6/29,paperId:9806522}",24
"{date:1995/9/26,paperId:9509398}",81
"{date:1993/3/16,paperId:9303263}",21
"{date:None,paperId:6351}",69
"{date:None,paperId:202057}",14
"{date:1999/8/2,paperId:9908223}",31
"{date:1999/1/28,paperId:9901445}",26
"{date:1998/11/16,paperId:9811343}",6
"{date:1996/9/23,paperId:9609437}",59
"{date:1999/11/17,paperId:9911388}",34
"{date:None,paperId:1062}",56
"{date:None,paperId:10279}",9
"{date:None,paperId:206139}",1
"{date:1996/12/20,paperId:9612434}",5
"{date:None,paperId:206311}",43
"{date:None,paperId:209221}",8
"{date:1996/8/14,paperId:9608316}",7
"{date:1999/9/28,paperId:9909529}",27
"{date:1997/4/28,paperId:9704418}",8
"{date:None,paperId:111427}",20
"{date:1999/6/8,paperId:9906295}",19
"{date:1998/8/24,paperId:9808403}",6
"{date:1996/7/10,paperId:9607278}",9
"{date:None,paperId:208199}",21
"{date:None,paperId:12127}",4
"{date:None,paperId:11203}",12
"{date:1999/11/25,paperId:9911479}",39
"{date:None,paperId:105045}",26
"{date:None,paperId:210442}",30
"{date:1997/9/19,paperId:9709407}",33
"{date:1992/10/27,paperId:9210265}",12
"{date:None,paperId:2003}",25
"{date:1994/4/1,paperId:9404204}",5
"{date:1998/3/13,paperId:9803336}",27
"{date:1998/8/10,paperId:9808281}",32
"{date:None,paperId:106212}",15
"{date:1998/11/19,paperId:9811394}",6
"{date:None,paperId:107125}",18
"{date:None,paperId:109167}",16
"{date:1999/10/21,paperId:9910438}",53
"{date:None,paperId:7013}",21
"{date:1999/11/30,paperId:9911541}",44
"{date:None,paperId:104111}",12
"{date:None,paperId:106181}",41
"{date:None,paperId:203063}",19
"{date:None,paperId:209025}",14
"{date:1995/8/16,paperId:9508310}",8
"{date:1999/4/10,paperId:9904293}",8
"{date:None,paperId:107264}",60
"{date:None,paperId:210448}",24
"{date:1998/7/7,paperId:9807274}",4
"{date:1998/8/28,paperId:9808458}",30
"{date:1997/4/17,paperId:9704342}",27
"{date:1998/1/19,paperId:9801341}",32
"{date:1997/5/12,paperId:9705296}",28
"{date:1996/5/26,paperId:9605406}",34
"{date:1999/1/8,paperId:9901256}",11
"{date:1996/7/3,paperId:9607226}",9
"{date:None,paperId:203122}",24
"{date:1998/11/12,paperId:9811313}",138
"{date:1995/7/25,paperId:9507413}",25
"{date:1993/9/16,paperId:9309276}",1
"{date:1995/6/1,paperId:9506203}",20
"{date:1992/11/6,paperId:9211218}",1
"{date:None,paperId:4043}",129
"{date:1995/12/14,paperId:9512316}",6
"{date:1997/8/24,paperId:9708445}",7
"{date:1997/7/17,paperId:9707376}",5
"{date:None,paperId:8159}",51
"{date:1995/5/4,paperId:9505237}",1
"{date:1994/5/19,paperId:9405326}",27
"{date:None,paperId:2183}",33
"{date:1998/11/10,paperId:9811297}",6
"{date:1999/5/19,paperId:9905406}",22
"{date:1998/4/6,paperId:9804237}",55
"{date:1994/7/31,paperId:9407408}",53
"{date:1995/9/26,paperId:9509399}",32
"{date:1995/10/14,paperId:9510292}",6
"{date:1999/6/4,paperId:9906251}",12
"{date:1995/5/31,paperId:9505437}",1
"{date:1994/5/13,paperId:9405288}",13
"{date:1997/9/23,paperId:9709427}",2
"{date:1996/12/5,paperId:9612259}",11
"{date:None,paperId:110135}",33
"{date:1995/5/13,paperId:9505302}",39
"{date:1997/9/5,paperId:9709253}",8
"{date:1995/6/1,paperId:9506206}",15
"{date:1999/7/14,paperId:9907356}",17
"{date:1995/6/26,paperId:9506424}",4
"{date:None,paperId:210180}",5
"{date:1999/12/10,paperId:9912296}",3
"{date:1998/2/12,paperId:9802314}",136
"{date:1999/12/22,paperId:9912456}",19
"{date:None,paperId:110204}",7
"{date:None,paperId:12316}",15
"{date:None,paperId:9027}",11
"{date:None,paperId:7237}",13
"{date:1996/12/16,paperId:9612371}",6
"{date:None,paperId:9256}",5
"{date:None,paperId:302221}",4
"{date:None,paperId:203220}",13
"{date:1997/6/26,paperId:9706517}",4
"{date:1995/3/27,paperId:9503441}",13
"{date:None,paperId:104279}",40
"{date:None,paperId:2029}",5
"{date:None,paperId:206300}",68
"{date:None,paperId:212035}",38
"{date:1996/2/29,paperId:9602430}",8
"{date:None,paperId:205338}",1
"{date:None,paperId:108165}",7
"{date:1995/2/16,paperId:9502319}",11
"{date:None,paperId:207023}",28
"{date:1999/9/13,paperId:9909345}",12
"{date:1998/7/22,paperId:9807463}",4
"{date:None,paperId:104104}",33
"{date:1994/1/17,paperId:9401273}",7
"{date:1998/5/6,paperId:9805239}",19
"{date:1998/2/26,paperId:9802425}",22
"{date:1998/9/15,paperId:9809402}",24
"{date:1992/12/17,paperId:9212279}",16
"{date:1999/3/5,paperId:9903265}",25
"{date:None,paperId:206202}",12
"{date:None,paperId:107058}",17
"{date:1995/10/2,paperId:9510205}",6
"{date:1998/12/9,paperId:9812292}",12
"{date:1993/12/28,paperId:9312346}",2
"{date:None,paperId:301232}",24
"{date:1996/3/25,paperId:9603408}",62
"{date:None,paperId:102243}",37
"{date:None,paperId:1053}",9
"{date:1999/7/19,paperId:9907420}",31
"{date:1998/8/1,paperId:9808201}",28
"{date:1995/2/14,paperId:9502299}",1
"{date:None,paperId:203075}",20
"{date:1996/7/11,paperId:9607296}",35
"{date:1996/8/19,paperId:9608373}",24
"{date:None,paperId:1122}",41
"{date:1998/7/15,paperId:9807390}",48
"{date:None,paperId:6318}",7
"{date:1996/7/27,paperId:9607449}",73
"{date:1998/1/20,paperId:9801351}",2
"{date:1994/8/22,paperId:9408345}",35
"{date:1998/11/18,paperId:9811387}",31
"{date:1997/10/7,paperId:9710260}",5
"{date:None,paperId:106220}",11
"{date:1999/10/29,paperId:9910546}",37
"{date:1997/12/17,paperId:9712408}",16
"{date:1996/11/25,paperId:9611408}",5
"{date:1996/7/11,paperId:9607292}",48
"{date:1995/3/20,paperId:9503389}",5
"{date:None,paperId:6217}",25
"{date:1997/4/8,paperId:9704258}",45
"{date:1996/3/25,paperId:9603403}",2
"{date:None,paperId:201083}",6
"{date:None,paperId:103135}",28
"{date:1998/8/5,paperId:9808232}",87
"{date:1997/5/10,paperId:9705285}",7
"{date:1998/7/2,paperId:9807219}",24
"{date:None,paperId:202165}",38
"{date:None,paperId:109202}",78
"{date:1999/4/8,paperId:9904275}",2
"{date:1994/6/27,paperId:9406404}",17
"{date:None,paperId:209135}",46
"{date:None,paperId:104132}",4
"{date:1997/5/17,paperId:9705341}",71
"{date:1996/10/25,paperId:9610483}",4
"{date:1997/2/3,paperId:9702228}",3
"{date:1996/10/14,paperId:9610346}",2
"{date:1995/6/21,paperId:9506386}",15
"{date:None,paperId:103204}",12
"{date:1999/5/7,paperId:9905269}",16
"{date:1999/11/2,paperId:9911208}",5
"{date:None,paperId:110276}",27
"{date:1999/5/4,paperId:9905224}",4
"{date:1994/5/13,paperId:9405284}",6
"{date:None,paperId:112217}",8
"{date:1998/9/30,paperId:9809585}",5
"{date:None,paperId:8141}",35
"{date:1996/12/4,paperId:9612246}",5
"{date:None,paperId:111162}",4
"{date:None,paperId:207107}",20
"{date:1994/6/3,paperId:9406225}",9
"{date:1992/10/29,paperId:9210274}",2
"{date:None,paperId:9229}",38
"{date:None,paperId:10043}",14
"{date:1998/5/11,paperId:9805278}",27
"{date:1995/12/18,paperId:9512337}",25
"{date:1996/11/21,paperId:9611387}",24
"{date:None,paperId:202207}",14
"{date:None,paperId:111130}",18
"{date:None,paperId:1100}",9
"{date:1993/7/6,paperId:9307224}",1
"{date:1999/8/31,paperId:9908531}",75
"{date:1999/3/10,paperId:9903310}",8
"{date:1998/6/28,paperId:9806510}",27
"{date:None,paperId:209028}",6
"{date:1993/3/24,paperId:9303304}",2
"{date:1998/12/21,paperId:9812458}",21
"{date:None,paperId:10228}",13
"{date:1994/8/18,paperId:9408316}",19
"{date:1995/11/3,paperId:9511234}",10
"{date:1996/6/20,paperId:9606392}",33
"{date:1994/11/8,paperId:9411243}",15
"{date:1998/10/8,paperId:9810295}",12
"{date:1999/4/2,paperId:9904219}",60
"{date:None,paperId:11125}",39
"{date:None,paperId:8147}",21
"{date:1999/10/29,paperId:9910541}",26
"{date:1997/8/21,paperId:9708432}",10
"{date:1997/8/14,paperId:9708351}",20
"{date:None,paperId:6128}",27
"{date:None,paperId:211003}",32
"{date:1998/3/30,paperId:9803487}",17
"{date:1997/11/19,paperId:9711394}",18
"{date:1999/8/31,paperId:9908515}",34
"{date:1996/1/6,paperId:9601220}",20
"{date:1996/10/9,paperId:9610300}",3
"{date:1997/3/11,paperId:9703288}",151
"{date:1997/11/15,paperId:9711343}",11
"{date:1995/9/11,paperId:9509266}",1
"{date:1997/4/4,paperId:9704237}",2
"{date:1999/9/6,paperId:9909257}",7
"{date:1996/9/9,paperId:9609296}",8
"{date:1997/8/12,paperId:9708331}",8
"{date:1997/7/2,paperId:9707223}",87
"{date:1997/3/12,paperId:9703305}",54
"{date:1999/12/20,paperId:9912433}",18
"{date:None,paperId:209308}",5
"{date:None,paperId:104043}",4
"{date:None,paperId:1002}",144
"{date:1992/12/6,paperId:9212228}",1
"{date:None,paperId:102072}",37
"{date:1999/8/18,paperId:9908395}",100
"{date:None,paperId:105070}",30
"{date:None,paperId:110258}",23
"{date:1996/11/19,paperId:9611363}",108
"{date:None,paperId:103120}",18
"{date:1999/1/21,paperId:9901364}",2
"{date:1998/1/19,paperId:9801336}",15
"{date:1995/10/5,paperId:9510236}",5
"{date:1999/8/16,paperId:9908365}",2
"{date:1995/3/24,paperId:9503426}",5
"{date:1997/4/2,paperId:9704210}",2
"{date:1995/3/10,paperId:9503293}",12
"{date:1994/10/21,paperId:9410344}",3
"{date:1997/5/29,paperId:9705459}",8
"{date:1995/7/10,paperId:9507268}",8
"{date:1993/12/27,paperId:9312344}",2
"{date:1995/12/1,paperId:9512211}",14
"{date:1998/10/29,paperId:9810526}",8
"{date:1995/10/3,paperId:9510211}",5
"{date:1995/6/13,paperId:9506308}",5
"{date:1997/8/21,paperId:9708427}",33
"{date:None,paperId:106097}",24
"{date:1997/7/21,paperId:9707410}",10
"{date:1995/3/18,paperId:9503365}",3
"{date:1996/10/15,paperId:9610367}",16
"{date:1999/11/5,paperId:9911254}",14
"{date:None,paperId:111336}",11
"{date:1995/10/3,paperId:9510218}",12
"{date:1993/2/22,paperId:9302292}",41
"{date:None,paperId:105071}",59
"{date:1997/12/22,paperId:9712496}",53
"{date:1999/11/10,paperId:9911302}",66
"{date:1999/8/3,paperId:9908230}",79
"{date:1997/12/22,paperId:9712491}",21
"{date:1996/4/3,paperId:9604231}",17
"{date:None,paperId:210413}",17
"{date:1998/7/26,paperId:9807500}",36
"{date:None,paperId:211218}",27
"{date:1993/5/14,paperId:9305269}",54
"{date:1995/12/4,paperId:9512228}",19
"{date:1993/11/19,paperId:9311321}",14
"{date:None,paperId:12196}",15
"{date:1994/3/31,paperId:9403405}",3
"{date:1998/1/8,paperId:9801244}",27
"{date:1996/12/12,paperId:9612345}",4
"{date:None,paperId:7331}",2
"{date:1999/7/1,paperId:9907203}",23
"{date:1998/7/3,paperId:9807236}",25
"{date:1999/1/13,paperId:9901286}",15
"{date:None,paperId:104152}",76
"{date:None,paperId:302037}",7
"{date:1999/10/18,paperId:9910376}",1
"{date:1997/5/8,paperId:9705264}",46
"{date:1998/7/3,paperId:9807247}",13
"{date:1995/11/24,paperId:9511405}",26
"{date:1993/9/7,paperId:9309240}",18
"{date:1999/8/17,paperId:9908388}",40
"{date:1997/9/29,paperId:9709493}",7
"{date:None,paperId:207206}",24
"{date:None,paperId:4044}",83
"{date:1997/6/26,paperId:9706514}",1
"{date:1999/3/31,paperId:9903537}",3
"{date:None,paperId:3133}",66
"{date:1997/6/9,paperId:9706297}",58
"{date:None,paperId:302151}",26
"{date:1998/9/14,paperId:9809373}",24
"{date:None,paperId:7117}",3
"{date:None,paperId:211261}",10
"{date:1997/10/10,paperId:9710318}",2
"{date:None,paperId:302206}",10
"{date:1993/11/2,paperId:9311216}",9
"{date:None,paperId:205109}",34
"{date:None,paperId:101345}",7
"{date:1998/3/26,paperId:9803461}",11
"{date:1997/1/18,paperId:9701326}",1
"{date:1997/6/4,paperId:9706242}",74
"{date:1996/12/5,paperId:9612263}",6
"{date:1994/7/3,paperId:9407213}",1
"{date:1999/8/24,paperId:9908447}",10
"{date:None,paperId:106138}",16
"{date:1998/6/30,paperId:9806532}",7
"{date:1994/1/17,paperId:9401276}",27
"{date:1999/4/6,paperId:9904241}",4
"{date:1992/6/22,paperId:9206240}",6
"{date:1995/5/3,paperId:9505218}",3
"{date:1998/6/3,paperId:9806239}",14
"{date:None,paperId:209149}",4
"{date:1999/10/25,paperId:9910476}",18
"{date:1997/8/8,paperId:9708288}",18
"{date:None,paperId:205217}",5
"{date:1993/4/21,paperId:9304282}",4
"{date:1999/8/9,paperId:9908300}",25
"{date:1996/8/6,paperId:9608244}",3
"{date:None,paperId:212019}",6
"{date:1997/6/9,paperId:9706291}",3
"{date:1998/6/14,paperId:9806363}",7
"{date:None,paperId:202131}",61
"{date:None,paperId:112265}",20
"{date:None,paperId:111327}",17
"{date:None,paperId:112305}",89
"{date:1997/4/16,paperId:9704337}",23
"{date:None,paperId:110325}",94
"{date:1995/7/6,paperId:9507253}",85
"{date:None,paperId:203017}",15
"{date:1999/4/27,paperId:9904464}",40
"{date:None,paperId:2054}",37
"{date:None,paperId:103192}",26
"{date:1993/7/27,paperId:9307345}",13
"{date:1994/1/24,paperId:9401317}",26
"{date:1993/1/20,paperId:9301251}",2
"{date:1997/10/14,paperId:9710342}",21
"{date:1997/12/6,paperId:9712283}",18
"{date:1994/8/11,paperId:9408275}",61
"{date:1995/5/3,paperId:9505217}",9
"{date:1999/12/17,paperId:9912391}",95
"{date:None,paperId:105088}",35
"{date:None,paperId:210225}",13
"{date:None,paperId:8145}",10
"{date:None,paperId:2178}",91
"{date:None,paperId:111276}",24
"{date:1998/2/18,paperId:9802345}",23
"{date:1999/8/2,paperId:9908218}",44
"{date:1994/3/28,paperId:9403381}",15
"{date:1996/3/9,paperId:9603257}",8
"{date:None,paperId:209144}",13
"{date:None,paperId:1030}",17
"{date:1998/7/27,paperId:9807493}",6
"{date:1998/6/11,paperId:9806347}",13
"{date:None,paperId:107105}",19
"{date:None,paperId:1126}",10
"{date:1995/7/1,paperId:9506480}",17
"{date:1998/6/30,paperId:9806538}",17
"{date:None,paperId:110379}",12
"{date:None,paperId:201033}",23
"{date:1999/9/14,paperId:9909363}",33
"{date:1998/8/7,paperId:9808259}",11
"{date:1998/7/17,paperId:9807400}",25
"{date:1997/6/20,paperId:9706431}",10
"{date:None,paperId:203252}",6
"{date:None,paperId:205144}",6
"{date:None,paperId:301210}",20
"{date:None,paperId:302248}",55
"{date:1996/10/31,paperId:9610551}",10
"{date:1998/10/16,paperId:9810392}",12
"{date:None,paperId:301040}",23
"{date:None,paperId:211394}",32
"{date:1995/9/11,paperId:9509267}",13
"{date:None,paperId:207246}",20
"{date:1999/5/1,paperId:9905201}",3
"{date:1997/9/30,paperId:9709512}",12
"{date:1999/10/13,paperId:9910330}",4
"{date:1999/6/14,paperId:9906360}",4
"{date:None,paperId:105016}",19
"{date:None,paperId:12006}",15
"{date:1996/10/2,paperId:9610218}",21
"{date:None,paperId:208062}",15
"{date:1999/6/17,paperId:9906408}",6
"{date:1997/6/21,paperId:9706443}",13
"{date:None,paperId:111231}",8
"{date:None,paperId:210117}",12
"{date:1997/3/7,paperId:9703268}",35
"{date:None,paperId:104108}",60
"{date:1996/9/18,paperId:9609403}",13
"{date:None,paperId:101014}",8
"{date:None,paperId:7063}",10
"{date:None,paperId:12191}",12
"{date:1999/2/19,paperId:9902408}",15
"{date:1998/5/8,paperId:9805268}",67
"{date:1995/2/23,paperId:9502376}",24
"{date:None,paperId:12141}",37
"{date:1999/6/25,paperId:9906506}",13
"{date:1993/6/15,paperId:9306277}",17
"{date:1994/9/21,paperId:9409374}",4
"{date:1999/2/17,paperId:9902372}",35
"{date:None,paperId:204316}",251
"{date:1993/4/8,paperId:9304232}",22
"{date:1998/8/6,paperId:9808246}",8
"{date:None,paperId:3323}",67
"{date:1997/7/14,paperId:9707343}",1
"{date:1996/9/29,paperId:9609511}",88
"{date:1994/5/9,paperId:9405252}",10
"{date:1994/9/30,paperId:9409455}",18
"{date:1997/5/23,paperId:9705402}",19
"{date:None,paperId:211224}",45
"{date:1997/4/10,paperId:9704291}",41
"{date:1998/12/16,paperId:9812392}",79
"{date:1999/2/5,paperId:9902254}",1
"{date:1993/11/30,paperId:9311376}",26
"{date:1997/12/22,paperId:9712479}",34
"{date:None,paperId:8204}",37
"{date:1999/12/22,paperId:9912476}",37
"{date:None,paperId:211117}",15
"{date:1996/10/9,paperId:9610295}",8
"{date:1997/6/18,paperId:9706403}",3
"{date:None,paperId:112133}",16
"{date:None,paperId:2206}",5
"{date:1997/5/14,paperId:9705320}",53
"{date:1997/7/20,paperId:9707402}",11
"{date:None,paperId:212170}",7
"{date:1994/3/3,paperId:9403220}",1
"{date:None,paperId:212223}",1
"{date:None,paperId:211444}",20
"{date:1999/1/19,paperId:9901343}",12
"{date:1998/7/13,paperId:9807359}",8
"{date:None,paperId:207041}",38
"{date:None,paperId:208028}",47
"{date:None,paperId:103333}",5
"{date:1996/2/13,paperId:9602295}",17
"{date:None,paperId:209299}",7
"{date:1999/12/8,paperId:9912273}",18
"{date:1997/7/9,paperId:9707288}",9
"{date:1998/4/21,paperId:9804340}",7
"{date:None,paperId:202134}",10
"{date:None,paperId:11090}",3
"{date:None,paperId:9104}",4
"{date:None,paperId:112142}",27
"{date:1994/6/3,paperId:9406226}",11
"{date:None,paperId:12264}",51
"{date:1997/5/14,paperId:9705310}",11
"{date:None,paperId:202186}",9
"{date:None,paperId:5056}",24
"{date:None,paperId:9064}",7
"{date:1996/8/20,paperId:9608382}",13
"{date:1999/6/17,paperId:9906418}",22
"{date:None,paperId:102264}",30
"{date:None,paperId:212021}",15
"{date:1998/11/12,paperId:9811314}",5
"{date:None,paperId:9152}",7
"{date:None,paperId:210425}",16
"{date:1999/12/29,paperId:9912534}",22
"{date:1998/12/16,paperId:9812379}",5
"{date:1994/2/16,paperId:9402303}",7
"{date:1995/12/27,paperId:9512432}",17
"{date:1998/1/22,paperId:9801392}",11
"{date:1994/3/14,paperId:9403292}",23
"{date:None,paperId:110326}",20
"{date:1997/10/2,paperId:9710223}",56
"{date:1998/10/2,paperId:9810222}",10
"{date:1998/6/19,paperId:9806417}",6
"{date:None,paperId:104095}",34
"{date:1997/3/27,paperId:9703447}",7
"{date:1996/10/10,paperId:9610320}",20
"{date:None,paperId:4092}",17
"{date:None,paperId:11359}",54
"{date:1999/10/15,paperId:9910357}",21
"{date:1993/8/23,paperId:9308322}",11
"{date:1996/7/30,paperId:9607469}",5
"{date:None,paperId:202149}",10
"{date:1994/4/15,paperId:9404274}",18
"{date:1995/4/10,paperId:9504266}",8
"{date:1998/9/22,paperId:9809481}",27
"{date:1996/3/21,paperId:9603370}",61
"{date:1993/11/19,paperId:9311315}",1
"{date:1996/1/12,paperId:9601262}",34
"{date:1996/5/19,paperId:9605351}",46
"{date:1997/10/31,paperId:9710557}",3
"{date:None,paperId:102323}",93
"{date:1999/2/18,paperId:9902387}",1
"{date:1996/2/25,paperId:9602389}",27
"{date:None,paperId:212086}",18
"{date:None,paperId:2155}",46
"{date:1992/10/15,paperId:9210239}",9
"{date:None,paperId:109199}",1
"{date:1995/7/24,paperId:9507387}",3
"{date:1999/4/16,paperId:9904355}",43
"{date:1999/3/9,paperId:9903297}",9
"{date:1997/9/29,paperId:9709494}",22
"{date:1995/11/16,paperId:9511353}",1
"{date:1993/11/22,paperId:9311341}",59
"{date:None,paperId:205303}",20
"{date:1997/7/28,paperId:9707493}",5
"{date:1995/7/22,paperId:9507383}",1
"{date:None,paperId:102330}",7
"{date:1995/6/16,paperId:9506350}",68
"{date:None,paperId:208185}",20
"{date:1993/7/27,paperId:9307349}",2
"{date:1999/5/11,paperId:9905311}",104
"{date:1998/7/22,paperId:9807455}",1
"{date:1995/6/21,paperId:9506385}",8
"{date:1999/12/17,paperId:9912405}",41
"{date:1997/3/12,paperId:9703307}",4
"{date:1994/10/18,paperId:9410310}",67
"{date:None,paperId:9260}",7
"{date:1997/6/2,paperId:9706217}",22
"{date:1999/2/23,paperId:9902450}",8
"{date:None,paperId:6104}",35
"{date:1995/10/24,paperId:9510391}",3
"{date:None,paperId:209365}",9
"{date:1995/9/9,paperId:9509261}",9
"{date:None,paperId:102333}",3
"{date:1995/2/15,paperId:9502307}",21
"{date:None,paperId:208024}",34
"{date:1994/1/11,paperId:9401233}",9
"{date:None,paperId:110101}",7
"{date:None,paperId:108150}",46
"{date:None,paperId:203051}",33
"{date:1994/1/12,paperId:9401242}",14
"{date:1999/8/16,paperId:9908361}",8
"{date:None,paperId:10337}",6
"{date:None,paperId:102131}",31
"{date:1999/7/7,paperId:9907265}",15
"{date:None,paperId:203237}",58
"{date:1998/11/17,paperId:9811370}",18
"{date:None,paperId:103004}",6
"{date:1999/9/9,paperId:9909302}",13
"{date:None,paperId:4045}",5
"{date:None,paperId:8019}",110
"{date:None,paperId:110109}",6
"{date:1998/3/5,paperId:9803251}",26
"{date:1994/4/21,paperId:9404319}",4
"{date:1999/10/13,paperId:9910324}",1
"{date:None,paperId:3172}",46
"{date:1997/2/13,paperId:9702332}",7
"{date:1996/10/28,paperId:9610503}",8
"{date:1993/10/15,paperId:9310293}",1
"{date:1996/9/2,paperId:9609226}",42
"{date:1994/8/3,paperId:9408218}",21
"{date:1998/8/18,paperId:9808348}",25
"{date:None,paperId:11126}",2
"{date:1997/9/26,paperId:9709470}",6
"{date:1994/3/9,paperId:9403257}",36
"{date:1999/11/4,paperId:9911238}",20
"{date:None,paperId:210169}",34
"{date:1999/10/6,paperId:9910257}",43
"{date:1999/12/24,paperId:9912498}",69
"{date:1993/6/7,paperId:9306235}",42
"{date:1999/3/16,paperId:9903367}",18
"{date:1994/1/31,paperId:9401357}",17
"{date:1996/2/9,paperId:9602266}",13
"{date:1998/1/9,paperId:9801259}",33
"{date:1998/3/5,paperId:9803257}",72
"{date:None,paperId:5143}",4
"{date:None,paperId:104317}",65
"{date:None,paperId:12032}",16
"{date:1993/8/26,paperId:9308342}",17
"{date:1994/9/24,paperId:9409412}",26
"{date:1997/10/27,paperId:9710480}",33
"{date:1999/11/5,paperId:9911263}",43
"{date:1994/3/9,paperId:9403252}",21
"{date:1995/7/26,paperId:9507424}",34
"{date:1999/10/12,paperId:9910304}",2
"{date:None,paperId:111189}",7
"{date:1999/2/19,paperId:9902402}",2
"{date:1996/3/29,paperId:9603441}",52
"{date:None,paperId:209288}",4
"{date:1996/8/6,paperId:9608235}",6
"{date:None,paperId:202103}",12
"{date:1999/3/23,paperId:9903458}",6
"{date:None,paperId:2082}",27
"{date:1998/7/30,paperId:9807554}",3
"{date:1998/3/17,paperId:9803368}",144
"{date:None,paperId:210351}",34
"{date:1997/9/17,paperId:9709383}",33
"{date:1996/11/6,paperId:9611250}",6
"{date:1999/7/14,paperId:9907351}",7
"{date:1992/10/2,paperId:9210206}",8
"{date:None,paperId:302157}",2
"{date:None,paperId:109277}",9
"{date:None,paperId:102040}",12
"{date:None,paperId:206076}",27
"{date:1995/3/27,paperId:9503444}",11
"{date:1994/8/23,paperId:9408356}",5
"{date:None,paperId:206207}",33
"{date:None,paperId:106095}",12
"{date:None,paperId:111206}",47
"{date:None,paperId:107164}",46
"{date:1998/10/8,paperId:9810282}",55
"{date:None,paperId:103147}",22
"{date:None,paperId:207052}",15
"{date:1998/9/18,paperId:9809431}",22
"{date:1999/12/27,paperId:9912510}",8
"{date:1996/6/13,paperId:9606319}",7
"{date:1994/9/5,paperId:9409221}",17
"{date:1996/6/28,paperId:9606478}",23
"{date:None,paperId:102182}",18
"{date:1999/3/25,paperId:9903487}",5
"{date:1997/7/11,paperId:9707319}",29
"{date:1996/4/10,paperId:9604280}",16
"{date:1999/10/8,paperId:9910278}",28
"{date:1993/7/12,paperId:9307251}",2
"{date:1995/10/22,paperId:9510366}",22
"{date:1992/6/25,paperId:9206248}",4
"{date:1996/8/19,paperId:9608359}",24
"{date:1998/12/15,paperId:9812374}",30
"{date:1999/12/20,paperId:9912417}",9
"{date:None,paperId:105034}",16
